Times (us),interval (us),strain (raw),sensorValue0 (raw)
12086820,12500,2278801,290
12099324,12504,2279045,289
12111824,12500,2285109,290
12124324,12500,2287892,290
12136824,12500,2283539,290
12149324,12500,2278721,289
12161828,12504,2280824,290
12174332,12504,2287125,290
12186832,12500,2281233,290
12199332,12500,2278177,289
12211832,12500,2283052,290
12224336,12504,2288497,290
12236836,12500,2285374,290
12249336,12500,2278150,289
12261836,12500,2278960,290
12274336,12500,2289375,290
12286836,12500,2281902,290
12299340,12504,2276390,289
12311840,12500,2281574,290
12324340,12500,2289414,290
12336840,12500,2287508,290
12349340,12500,2278673,290
12361840,12500,2277023,290
12374344,12504,2285528,290
12386848,12504,2283902,290
12399352,12504,2276410,289
12411856,12504,2279850,290
12424356,12500,2288262,290
12436860,12504,2288228,290
12449360,12500,2280182,290
12461860,12500,2277363,290
12474360,12500,2284064,290
12486860,12500,2284853,290
12499360,12500,2278014,290
12511860,12500,2280040,290
12524360,12500,2287141,290
12536860,12500,2287630,290
12549360,12500,2281076,290
12561860,12500,2278328,290
12574360,12500,2283248,290
12586860,12500,2287499,290
12599360,12500,2280504,290
12611860,12500,2281332,290
12624360,12500,2284947,290
12636864,12504,2285363,290
12649364,12500,2282599,290
12661864,12500,2281590,290
12674368,12504,2283634,290
12686868,12500,2284820,290
12699368,12500,2282025,290
12711868,12500,2283109,290
12724372,12504,2284290,290
12736872,12500,2283444,290
12749376,12504,2282467,290
12761880,12504,2282952,290
12774380,12500,2283760,290
12786884,12504,2283713,290
12799384,12500,2283375,290
12811884,12500,2283063,290
12824388,12504,2282592,290
12836892,12504,2282835,290
12849396,12504,2283989,290
12861896,12500,2284235,290
12874400,12504,2282934,290
12886904,12504,2282052,290
12899404,12500,2283609,290
12911904,12500,2283664,290
12924408,12504,2281378,290
12936908,12500,2282258,290
12949412,12504,2284736,290
12961916,12504,2284718,290
12974416,12500,2282329,290
12986916,12500,2281820,290
12999420,12504,2283972,290
13011924,12504,2283088,290
13024424,12500,2281866,290
13036924,12500,2283148,290
13049424,12500,2284665,290
13061924,12500,2283840,290
13074424,12500,2282158,290
13086924,12500,2282769,290
13099428,12504,2284612,290
